Title,Label,Catalogue number,Year,format,Image
Don't Switch Off,Frijsfo Beats,SFO018,2012,Digital,
The Veld,Frijsfo Beats,SFO016,2012,Digital,
The Established Order of Things,Frijsfo Beats,SFO013,2011,Digital,
Fossils,Frijsfo Beats,SFO012,2011,Digital,
Kwaq,Bonus Round,bonusround009,2011,Digital,
Battery Operated,Frijsfo Beats,SFO008,2011,Digital,
Off the Beaten Track,Frijsfo Beats,SFO007,2011,Digital,
Industrial Revulsion,Combat Recordings,Combat023,2010,"Digital, Vinyl",
Suicide Beauty Spot ,Combat Recordings,Combat024,2009,"Digital, CD",
Hidden Methods,Point B Records,ptb001,2009,Digital,
Halo Marker,Bass4Bots,B4B-02,2009,Vinyl,
Intrusive Thoughts,Discordance,Unknown,2008,CD,
Cinder Cones and Animal Bones,Combat Recordings,Combat15,2007,Vinyl,
A Previous Version of Myself,SCSI Av,IDO021,2006,CD,
Rain Chemistry,Combat Recordings,COM06,2006,Digital,
Cutouts,SCSI Av,IDO020,2006,Vinyl,
After Burns,Erratica,ERR003,2005,Vinyl,
Fictionary,Orson,ORS003,2004,Vinyl,
Knowone,Erratica,ERR001,2003,Vinyl,
